"","geohash","observed","knn_predict","arima_predict","smooth_predict"
"1","dr5re93",0,0.00168539325842697,0,1.3162089927583e-05
"2","dr5re94",0,0.00112359550561798,0,-1.31768905299288e-05
"3","dr5re96",0,0.00112359550561798,0.00449438202243543,0.00156116613609601
"4","dr5re97",0,-0.000561797752808989,0,-8.70825107395226e-09
"5","dr5re99",0,0.00112359550561798,0,1.31368674984884e-05
"6","dr5re9b",0,2.16840434497101e-19,0,1.31577399738947e-05
"7","dr5re9c",0,0.000449438202247191,4.41073041328391e-21,-0.00367100767722294
"8","dr5re9e",0,-0.000321027287319422,0,-1.31159428204377e-05
"9","dr5re9f",0,-0.00168539325842697,0,1.31655709259402e-05
"10","dr5re9g",0,-0.00134831460674157,0,-1.31908357116473e-05
"11","dr5re9h",0,0,0,1.31638303116987e-05
"12","dr5re9j",0,0.000561797752808989,0,1.3181246814798e-05
"13","dr5re9k",0,-0.000561797752808989,-0.00449438202243543,-0.00167426993250839
"14","dr5re9m",0,-0.000449438202247191,0,-1.13299059258691e-08
"15","dr5re9n",0,-0.000561797752808989,0,-1.3162089927583e-05
"16","dr5re9p",0,-0.000561797752808989,0,-1.31803754426243e-05
"17","dr5re9q",0,-0.00134831460674157,0,7.82491164099227e-09
"18","dr5re9r",0,-0.0134831460674157,0,4.00874098199901e-08
"19","dr5re9t",0,-0.00112359550561798,0,6.09396252549036e-09
"20","dr5re9u",0,0,-2.48816326407314e-22,4.35329271980928e-08
"21","dr5re9v",0,-0.0220224719101124,0,5.91979327805116e-08
"22","dr5re9w",0,-0.00359550561797753,0,-2.62493500371585e-05
"23","dr5re9x",0,-0.633707865168539,2.03838752474052e-37,-0.00105901450993602
"24","dr5re9y",0,-0.551910112359551,0,-1.32135189729314e-05
"25","dr5re9z",0,-0.92314606741573,0,-7.91631408621846e-05
"26","dr5rec0",0,-0.0134831460674157,0,1.31699234685441e-05
"27","dr5rec1",0,0.55561797752809,0,1.22092960249378e-08
"28","dr5rec2",0,-0.193258426966292,-0.0333452902923945,-0.0328539424604185
"29","dr5rec3",2,-0.98876404494382,3.28470065510828,3.44631381325132
"30","dr5rec4",0,0.052247191011236,0,-2.62946118992638e-05
"31","dr5rec5",0,-0.0168539325842697,-2.00558482378276e-27,-0.0029096122265213
"32","dr5rec6",0,-3.18022471910112,0.627473482047104,0.39848928143696
"33","dr5rec7",0,-1.5523595505618,-0.0461660805171909,-0.039889415040682
"34","dr5rec8",-2,-3.2314606741573,-2.09064171275992,-2.09905747376849
"35","dr5rec9",-1,-5.97977528089888,-1.57633922382745,-1.44205552723981
"36","dr5recb",-9,-2.80898876404494,-4.75160232119459,-4.74576570748233
"37","dr5recc",-2,-5.71910112359551,-1.33821091134509,-1.44349000314635
"38","dr5recd",-12,-8.6552808988764,-11.4280577448017,-12.8027831432205
"39","dr5rece",-6,-6.37033707865169,-7.6609694839263,-7.25629691180623
"40","dr5recf",-5,-7.88539325842697,-7.20692327876792,-7.29054394162078
"41","dr5recg",-3,-4.42471910112359,-3.59179184440763,-3.25966195652378
"42","dr5rech",0,-0.00786516853932584,0,4.96288566039312e-08
"43","dr5recj",0,-0.00404494382022472,0,4.00420836078039e-08
"44","dr5reck",0,-0.304719101123596,-0.024719101123621,-0.0137402430586399
"45","dr5recm",0,-0.0728089887640449,3.47090962538334e-06,-0.000784760020325841
"46","dr5recp",0,0.00561797752808989,0,1.31777616717104e-05
"47","dr5recq",0,0.00617977528089888,0.0112359550561798,0.00672909813718918
"48","dr5recr",0,0.00764044943820225,0.00674157303376767,0.00303142583442605
"49","dr5recs",-1,-2.4247191011236,-1.43595505617978,-1.40994751397934
"50","dr5rect",0,0.855730337078652,-0.356807305899913,-0.280467754346482
"51","dr5recu",-2,-0.112808988764045,-1.62167530691122,-2.04414311506759
"52","dr5recv",1,0.738876404494382,5.47209473954101,4.93630087995253
"53","dr5recw",0,0.0561797752808989,0,0.00296766656816057
"54","dr5recx",0,0.00269662921348315,0.0214083740480502,0.00899618895657618
"55","dr5recy",1,0.351011235955056,0.54746379602749,0.504868214367775
"56","dr5recz",0,-0.289887640449438,-0.0584800753488948,-0.0123354601646852
"57","dr5red1",0,0,0,1.31455677501948e-05
"58","dr5red2",0,0.00337078651685393,0,1.3162960090877e-05
"59","dr5red3",0,0.00269662921348315,0,2.18346614977301e-15
"60","dr5red4",0,0,0,-5.21666714797797e-09
"61","dr5red5",0,-0.000898876404494382,-9.64482399448594e-09,5.50477518398683e-09
