"","geohash","netdiff","netdiff2","netdiff3","netdiff4","netdiff5","netdiff6","netdiff7","netdiff8","netdiff9","netdiff10","netdiff11","netdiff12"
"104","dr5redt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4
"106","dr5redv",-7,-5,-3,-4,-6,0,-2,-3,-5,-7,-3,0
"108","dr5redw",-12,-12,-13,-10,-20,-9,-8,-20,-1,-8,-7,-8
"112","dr5redx",-11,-6,-2,-11,-5,-14,-5,-12,-5,-6,-10,-5
"114","dr5redy",0,2,-4,-5,-2,-15,-6,-6,-6,-5,-12,-12
"118","dr5redz",-12,-18,-16,-8,-15,-30,-13,-24,-5,-21,-14,-4
"122","dr5reej",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-1,-1
"123","dr5reem",NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,1,-1
"124","dr5reen",-3,-10,-7,-8,-8,-5,-7,-8,-9,-12,-11,-4
"128","dr5reep",-10,-7,-6,-10,-9,-18,-29,-31,-7,-11,-30,-14
"132","dr5reeq",-1,1,-1,-10,-6,-5,1,2,-5,2,-3,1
"135","dr5reer",-59,-43,-87,-65,-75,-107,-64,-125,-85,-74,-92,-62
"139","dr5reew",NA,NA,NA,NA,-1,1,1,0,1,-1,1,1
"140","dr5reex",-10,1,-1,0,2,4,-1,1,4,-1,-1,0
"142","dr5reey",NA,NA,NA,NA,NA,NA,NA,NA,NA,-5,-4,-1
"144","dr5reez",-84,-60,-88,-70,-43,-94,-88,-118,-75,-70,-115,-53
"148","dr5ref0",-12,-6,-19,-14,-19,-29,-15,-13,-32,-11,-35,-21
"152","dr5ref1",-15,-10,-5,-27,-11,-17,-9,-5,-9,-20,-8,-15
"156","dr5ref2",2,-5,-5,-2,-3,-7,-7,-6,-5,-8,-7,-2
"160","dr5ref3",-34,-31,-25,-46,-23,-41,-31,-43,-27,-24,-36,-23
"164","dr5ref4",-16,-25,-30,-25,-15,-13,-22,-27,-16,-23,-29,-16
"167","dr5ref5",-11,-14,-15,-18,-14,-22,-14,-12,-11,-15,-20,-23
"171","dr5ref6",-5,-3,-7,-1,-4,-6,-12,-5,1,-7,-12,-10
"175","dr5ref7",-10,-7,-11,-10,-6,-19,-6,-12,-8,-13,-8,-9
"179","dr5ref8",-17,-15,-9,-13,-10,-25,-14,-14,-11,-15,-13,-16
"183","dr5ref9",-5,-22,-29,-17,-13,-23,-12,-20,0,-12,-18,-15
"187","dr5refb",-3,-7,-25,0,0,-16,-7,-7,-14,-9,-16,-15
"191","dr5refc",-4,-4,-9,-7,-3,-16,-7,-13,-7,-12,-16,-7
"195","dr5refd",-58,-43,-51,-62,-50,-66,-67,-80,-50,-25,-75,-50
"199","dr5refe",-7,-11,-15,-9,-10,-19,-13,-12,-4,-13,-16,-11
"202","dr5reff",-13,-29,-36,-22,-36,-46,-33,-49,-19,-49,-62,-24
"206","dr5refg",-31,-30,-41,-31,-37,-67,-39,-44,-42,-67,-74,-38
"210","dr5refh",-10,-11,-22,-12,-20,-16,-17,-19,-5,-12,-19,-9
"214","dr5refj",-28,-26,-39,-40,-34,-37,-13,-38,-38,-22,-41,-39
"218","dr5refk",-7,-17,-39,-21,-16,-30,-18,-20,-13,-17,-19,-13
"222","dr5refm",-22,-29,-37,-15,-18,-47,-28,-37,-23,-25,-41,-21
"226","dr5refn",-12,-9,-14,-21,-11,-23,-12,-28,-13,-28,-16,-18
"230","dr5refp",-7,-1,-9,-4,-5,-14,-17,-15,-5,-11,-5,-8
"234","dr5refq",-31,-32,-50,-35,-24,-48,-34,-63,-53,-48,-46,-33
"238","dr5refr",-22,-17,-20,-15,-22,-45,-36,-43,-25,-25,-30,-19
"242","dr5refs",-12,-12,-27,-17,-30,-29,-24,-27,-6,-18,-33,-21
"246","dr5reft",-17,-16,-21,-16,-13,-11,-24,-27,-22,-13,-22,-17
"250","dr5refu",-12,-21,-14,-4,-5,-19,-24,-19,-3,-5,-20,-12
"254","dr5refv",-11,-14,-25,-27,-11,-19,-5,-15,-9,-17,-22,-17
"258","dr5refw",-15,-9,-18,-5,-7,-25,-19,-16,-12,-11,-16,-12
"262","dr5refx",-34,-26,-28,-21,-42,-31,-22,-36,-38,-37,-36,-33
"266","dr5refy",-5,-4,-3,-1,-3,-1,1,-9,-10,-8,-8,-11
"268","dr5refz",-12,-15,-16,-16,-20,-24,-16,-10,-8,-7,-12,-10
"272","dr5reg0",-5,-1,-1,-4,-5,-3,-5,-2,-5,-5,-12,-6
"275","dr5reg1",0,-3,-2,0,-2,-3,0,0,1,2,-1,-4
"276","dr5reg2",-5,-10,-9,-3,-2,-24,-6,-5,-4,-5,-12,-13
"278","dr5reg3",NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,0,-1
"280","dr5reg4",-17,-24,-34,-31,-18,-9,-12,-41,-24,-14,-31,-28
"284","dr5reg5",-76,-63,-84,-70,-93,-85,-75,-122,-64,-85,-111,-98
"288","dr5reg6",5,-3,-2,2,1,0,4,1,1,1,-5,0
"292","dr5reg7",-41,-29,-28,-25,-53,-36,-28,-48,-28,-28,-19,-44
"296","dr5reg8",-11,-8,-20,-13,-9,-11,-3,-9,-4,-3,-11,-6
"298","dr5reg9",NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-4,-6
"300","dr5regb",-35,-35,-31,-23,-36,-10,-5,-14,-9,-2,-24,-33
"304","dr5regc",-12,-6,-3,-7,-5,-6,-5,-4,-3,-4,-15,-10
"308","dr5regd",-20,-13,-33,-40,-35,-45,-35,-44,-32,-35,-41,-28
"311","dr5rege",-6,-9,-3,-6,-8,-14,-8,-11,-10,-23,-28,-18
"315","dr5regf",-18,-9,-18,-17,-14,-25,-22,-24,-20,-17,-21,-23
"319","dr5regg",-25,-14,-31,-11,-21,-39,-26,-28,-29,-19,-38,-27
"323","dr5regh",-25,-35,-39,-29,-24,-43,-45,-48,-44,-46,-62,-39
"327","dr5regj",-4,-4,-8,-2,-6,-10,-3,-6,-5,-8,-12,-14
"331","dr5regk",-29,-40,-44,-38,-44,-64,-49,-64,-50,-53,-60,-75
"335","dr5regm",-24,-22,-26,-12,-25,-38,-26,-24,-21,-28,-21,-35
"339","dr5regn",-5,-11,-11,-5,-4,-11,-6,-10,-4,-8,-15,-8
"340","dr5regp",-11,-13,-15,-17,-13,-16,-21,-22,-12,-9,-23,-13
"343","dr5regq",-21,-15,-23,-22,-17,-26,-20,-24,-19,-18,-27,-13
"347","dr5regr",3,-5,-7,0,-1,-13,-3,-2,-2,-13,-5,-4
"351","dr5regs",-1,-15,-14,-15,4,-7,-6,-21,0,-11,3,2
"355","dr5regt",-25,-30,-23,-29,-18,-30,-22,-27,-14,-13,-20,-12
"359","dr5regu",-12,-16,-19,-9,-8,-13,-13,-16,-12,-14,-14,-19
"363","dr5regv",-2,-5,-3,-5,-15,-16,-4,-19,-2,-8,-18,-4
"367","dr5regw",-5,-8,-3,-8,-6,-9,-2,-9,-3,-3,-11,-6
"369","dr5regx",-11,-8,-15,-11,-18,-20,-16,-19,-12,-17,-20,-17
"373","dr5regy",-20,-9,-35,-29,-15,-38,-28,-33,-17,-18,-24,-31
"377","dr5regz",-5,-5,-2,-1,-3,-3,-7,-3,-3,-5,-8,-4
"379","dr5resn",-4,-7,-6,-2,-2,-5,-4,-4,-7,-4,-8,-6
"380","dr5resp",-12,-19,-13,-12,-17,-13,-30,-43,-25,-16,-28,-29
"384","dr5resq",0,-4,-2,-1,-6,-1,1,-2,0,-1,-1,-1
"385","dr5resr",-9,-2,-9,-13,-6,-9,0,-8,-3,-2,-12,-5
"388","dr5resx",-2,2,-2,-2,-3,-5,2,3,-1,2,1,-2
"389","dr5reu0",-16,-13,-7,0,-6,-15,-8,-15,-10,-12,-21,-14
"393","dr5reu1",-7,-4,-3,-9,-6,-13,-8,-5,-13,-13,-7,-20
"397","dr5reu2",-18,-15,-24,-1,-23,-31,-9,-18,-26,-18,-29,-16
"401","dr5reu3",-5,-12,-13,-12,-15,-14,-13,-14,-19,-10,-5,-10
"405","dr5reu4",-20,-15,-29,-20,-6,-30,-20,-31,-21,-9,-36,-32
"409","dr5reu5",-13,-14,-20,-14,-2,-22,-10,-26,-9,-16,-23,-19
"413","dr5reu6",-5,-3,-17,-1,-1,-4,-5,-14,-9,-6,-5,-12
"415","dr5reu7",-9,-18,-16,-18,-9,-27,-12,-11,-23,-21,-17,-15
"419","dr5reu8",-2,-6,0,-1,-3,-7,-4,-5,-6,-4,-6,-4
"422","dr5reu9",-1,-2,-1,-4,-2,-1,-1,-3,1,-1,-2,-2
"423","dr5reub",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"424","dr5reud",-1,-4,-6,-4,-6,-6,-4,-9,1,-5,-7,-9
"427","dr5reue",-17,-17,-15,-19,-20,-22,-17,-20,-12,-21,-23,-17
"430","dr5reuf",-2,-4,-6,-1,-8,-2,0,-2,1,-2,-5,-7
"434","dr5reug",-57,-53,-33,-35,-62,-65,-67,-89,-71,-59,-84,-66
"438","dr5reuh",-38,-28,-34,-22,-42,-44,-33,-47,-26,-36,-49,-50
"442","dr5reuj",-18,-4,-24,-5,-13,-21,-3,-16,-10,-9,-2,-10
"446","dr5reuk",-9,-11,-30,-5,-20,-29,-25,-24,-7,-11,-27,-21
"450","dr5reum",-21,-27,-17,-14,-22,-39,-18,-32,-23,-17,-35,-11
"453","dr5reun",-8,-15,-17,-16,-17,-18,-13,-20,-21,-8,-29,-15
"457","dr5reup",-20,-31,-51,-38,-26,-56,-43,-34,-26,-24,-57,-24
"461","dr5reuq",-5,-19,-15,-9,-1,-7,7,-15,7,0,-17,-12
"465","dr5reur",-11,-8,-19,-12,-10,-31,-8,-18,-13,-11,-11,-12
"469","dr5reus",-14,-19,-24,-30,-19,-23,-20,-27,-16,-16,-19,-34
"473","dr5reut",-14,-16,-15,-17,-11,-17,-10,-13,-22,-17,-21,-18
"477","dr5reuu",-10,-30,-14,-19,-33,-36,-17,-42,-30,-24,-24,-30
"481","dr5reuv",-25,-25,-15,-14,-14,-29,-24,-20,-11,-17,-33,-20
"485","dr5reuw",-8,-11,-20,-16,-8,-13,-11,-12,-8,-7,-8,-18
"489","dr5reux",-22,-13,-24,-17,-12,-6,-12,-33,-16,-12,-40,-15
"493","dr5reuy",-15,-10,-30,-18,-5,-20,-20,-15,-6,-17,-14,-15
"497","dr5reuz",-7,-14,-13,-9,0,-18,-19,-19,-9,-8,-34,1
"501","dr5rev1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-1
"502","dr5rev4",NA,NA,NA,-1,-2,-6,-2,-1,-2,-1,2,-6
"505","dr5rev5",-34,-30,-43,-18,-23,-49,-36,-57,-27,-44,-61,-29
"509","dr5rev6",-4,-4,-6,-5,-5,-3,0,-2,-3,-2,1,-5
"510","dr5rev7",-12,-13,-17,-16,-16,-26,-12,-18,-5,-22,-14,-9
"514","dr5reve",-9,-9,-7,-9,-4,-14,-5,-16,-4,-11,-11,-11
"517","dr5revf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-2
"519","dr5revg",-17,-13,-17,-12,-10,-17,-13,-13,-13,-18,-28,-21
"521","dr5revh",-7,-6,-12,-5,-15,-11,-11,-6,-3,-20,-8,-9
"525","dr5revj",-4,-8,-3,-1,-4,-1,-1,-3,-1,-1,-5,-3
"528","dr5revk",-12,-13,-11,-13,2,-16,-9,-17,-6,-13,-12,-6
"532","dr5revm",-1,-4,-8,-4,-6,-5,-7,3,-2,-6,-10,-7
"536","dr5revn",-9,-16,-7,-6,-11,-15,-15,-21,-4,-9,-24,-8
"539","dr5revp",-29,-35,-35,-29,-30,-40,-28,-47,-28,-29,-55,-42
"543","dr5revq",-32,-32,-27,-38,-36,-38,-35,-53,-23,-35,-40,-28
"547","dr5revr",-6,-16,-16,-15,-10,-30,-7,-12,-32,-13,-21,-2
"551","dr5revs",-12,-13,-11,-11,-10,-12,-13,-12,-6,-9,-18,-14
"553","dr5revt",-6,-6,-8,-1,-1,-7,-11,-10,-6,-16,-16,-3
"557","dr5revu",-14,-13,-26,-20,-22,-24,-17,-15,-11,-25,-15,-22
"560","dr5revv",-11,-20,-20,-9,-15,-26,-12,-24,-21,-36,-28,-25
"564","dr5revw",-16,-22,-19,-20,-12,-19,-13,-23,-17,-18,-26,-21
"568","dr5revx",-6,-12,-13,-22,-11,-14,-16,-15,-7,-20,-13,-11
"572","dr5revy",-25,-31,-33,-31,-36,-42,-26,-20,-22,-42,-41,-22
"576","dr5revz",-20,-39,-31,-23,-23,-40,-37,-39,-22,-18,-40,-34
"580","dr5rext",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"581","dr5rey5",NA,NA,NA,NA,1,0,1,-2,-1,0,-3,0
"582","dr5rey6",-3,-5,-6,-4,-4,-13,-5,-8,-2,-1,-9,-4
"583","dr5rey7",1,-1,0,0,-4,-6,-4,1,-3,-1,1,0
"584","dr5reyd",-3,-7,1,-3,-8,-7,-7,-1,-3,-3,-6,-3
"585","dr5reye",-2,-6,-1,-2,-1,-1,-4,-5,-5,-3,-6,-2
"586","dr5reyg",-7,-11,-13,-9,-7,-9,-6,-6,-7,-6,-9,-10
"589","dr5reyh",-2,-3,-2,-5,-4,-3,-5,-5,0,-6,-9,-2
"590","dr5reyj",-33,-41,-53,-34,-24,-50,-35,-53,-23,-36,-54,-34
"594","dr5reyk",-1,-4,-3,-6,-2,-8,1,-8,-6,-5,-7,-10
"598","dr5reym",-25,-43,-38,-41,-24,-61,-43,-64,-37,-17,-56,-37
"602","dr5reyn",-31,-40,-42,-50,-57,-52,-38,-56,-33,-53,-60,-45
"606","dr5reyp",-7,-8,-11,-9,-5,-12,-9,-11,-3,-12,-16,-6
"608","dr5reyq",-37,-43,-55,-37,-42,-64,-31,-52,-42,-43,-64,-41
"612","dr5reyr",-38,-36,-25,-36,-34,-40,-36,-43,-27,-40,-56,-34
"616","dr5reys",-10,-12,-14,-15,-16,-21,-8,-20,-10,-24,-35,-5
"620","dr5reyt",-18,-18,-15,-20,-29,-33,-21,-30,-17,-16,-20,-17
"624","dr5reyu",-13,-8,-13,-21,-20,-21,-14,-6,-25,-23,-18,-19
"628","dr5reyv",-8,-18,-5,-6,-17,-29,-3,-22,-21,-8,-22,-3
"632","dr5reyw",-11,-5,-17,-11,-9,-15,-8,-12,-10,-9,-27,-13
"635","dr5reyx",-26,-36,-35,-16,-24,-33,-23,-19,-24,-25,-41,-25
"639","dr5reyy",-13,-10,-21,-9,-10,-6,-13,-19,-11,-7,-10,-11
"643","dr5reyz",-3,-19,-27,-28,-19,-32,-14,-26,-25,-26,-25,-20
"647","dr5rez5",-5,0,-5,-1,-9,-8,-4,-10,-7,-4,-7,-7
"648","dr5rez7",-8,-5,-4,-4,-2,-13,-1,-4,-7,-2,-12,-5
"650","dr5reze",-5,-14,-5,-4,-10,-9,-8,-11,-10,-9,-13,-8
"651","dr5rezg",-2,-2,0,-1,-2,-4,-3,-6,-3,-3,-2,-4
"652","dr5rezh",-6,-16,-12,-18,-8,-28,-4,-16,-17,-12,-18,-16
"655","dr5rezj",-16,-18,-25,-16,-13,-12,-21,-14,-15,-22,-21,-12
"659","dr5rezk",-5,-13,-8,-11,-6,-8,-14,-5,-13,-14,-20,-7
"663","dr5rezm",-13,-58,-11,-5,-18,-17,-6,-13,-42,-9,-21,-12
"667","dr5rezn",-5,-15,-18,-8,-22,-16,-19,-38,-21,-9,-28,-28
"671","dr5rezp",-9,-14,-10,-15,-14,-12,-11,-25,-12,-11,-19,-21
"675","dr5rezq",-26,-17,-29,-8,-20,-36,-18,-43,-16,-12,-36,-23
"679","dr5rezr",-40,-27,-30,-25,-36,-41,-18,-36,-23,-32,-40,-36
"683","dr5rezs",-13,-18,-16,-13,-17,-35,-14,-14,-22,-26,-31,-26
"687","dr5rezt",-17,-21,-18,-16,-14,-22,-20,-13,-24,-24,-20,-26
"691","dr5rezu",-14,-30,-4,-9,-11,-16,-20,-9,-19,-18,-19,-8
"695","dr5rezv",-24,-16,-19,-14,-18,-12,-11,-20,-13,-17,-11,-9
"698","dr5rezw",-12,-25,-22,-17,-24,-38,-9,-18,-32,-18,-42,-12
"702","dr5rezx",-32,-33,-41,-18,-32,-26,-43,-20,-28,-35,-34,-42
"706","dr5rezy",-27,-30,-12,-23,-25,-14,-24,-36,-35,-24,-38,-10
"710","dr5rezz",-22,-29,-38,-22,-24,-26,-28,-32,-12,-24,-38,-24
"714","dr5rg6b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1
"715","dr5rgb5",-3,0,-4,-4,-6,-5,-1,-5,-12,-6,-3,-6
"717","dr5rgb7",NA,NA,-1,0,-1,-3,-2,0,0,2,-1,1
"718","dr5rgb9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"719","dr5rgbh",-12,-34,-21,-17,-15,-29,-21,-27,-21,-28,-47,-33
"723","dr5rgbj",-9,-12,-14,-8,-10,-13,-11,-12,-10,-11,-6,-11
"726","dr5rgbk",-1,-23,-19,-19,-9,-15,-14,-24,-10,-18,-13,-11
"730","dr5rgbm",-17,-16,-14,-16,-15,-23,-21,-12,-15,-20,-25,-21
"734","dr5rgbn",-28,-31,-41,-19,-30,-38,-35,-38,-47,-41,-43,-34
"738","dr5rgbp",-17,-8,-28,-8,-4,-26,-15,-26,-8,-12,-13,-11
"742","dr5rgbq",-49,-68,-87,-67,-91,-83,-67,-93,-86,-88,-95,-81
"746","dr5rgbr",-6,-10,-11,-13,-6,-20,-9,-14,-17,-10,-23,-21
"749","dr5rgbs",-2,1,1,-2,-3,-1,-3,-1,-1,1,-1,-2
"751","dr5rgbt",-15,-22,-34,-39,-44,-54,-46,-47,-72,-70,-81,-56
"755","dr5rgbu",-7,-3,-5,-3,-7,-11,-3,-7,-6,-11,-10,-10
"756","dr5rgbv",-40,-57,-40,-59,-43,-60,-57,-72,-82,-58,-85,-41
"760","dr5rgbw",-62,-98,-100,-90,-116,-100,-87,-146,-132,-126,-143,-102
"764","dr5rgbx",-75,-79,-78,-59,-90,-111,-96,-106,-86,-87,-126,-81
"768","dr5rgby",-17,-29,-22,-24,-20,-13,-24,-31,-23,-24,-39,-27
"772","dr5rgbz",-93,-146,-143,-130,-113,-178,-150,-196,-141,-163,-217,-125
"776","dr5rgc7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2
"777","dr5rgce",-3,-6,-13,-3,-10,-4,-6,-5,-5,-6,-8,-3
"778","dr5rgcf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,0
"779","dr5rgcg",-2,-2,-4,-3,-5,-1,-2,-6,-3,-4,-3,-7
"780","dr5rgch",-2,-4,-2,-3,-1,-4,0,0,-2,-3,-2,-1
"781","dr5rgcj",-15,-20,-33,-20,-32,-26,-30,-44,-20,-13,-22,-19
"785","dr5rgck",-18,-18,-11,-9,-37,-18,-12,-22,-23,-16,-17,-19
"789","dr5rgcm",-11,-9,-10,-10,-5,-16,-13,-20,-16,-18,-10,-14
"793","dr5rgcn",-27,-22,-29,-18,-20,-27,-19,-30,-27,-24,-42,-35
"796","dr5rgcp",-7,-10,-4,-8,-1,-10,-10,-9,-3,-11,-20,-12
"799","dr5rgcq",-21,-14,-41,-20,-18,-44,-35,-29,-37,-36,-62,-31
"803","dr5rgcr",-12,-8,-11,-10,-12,-17,-13,-12,-11,-17,-15,-8
"805","dr5rgcs",-16,-10,-10,-14,-21,-20,-8,-20,-19,-17,-26,-17
"809","dr5rgct",-12,-9,-17,-10,-10,-18,-9,-19,-5,-10,-11,-10
"812","dr5rgcu",-11,-10,-11,-14,-4,-9,-14,-30,-10,-4,-10,-11
"815","dr5rgcv",-5,-17,-3,-16,-8,-15,-8,-9,-18,-10,-7,-9
"817","dr5rgcw",-22,-30,-20,-22,-32,-18,-17,-11,-22,-22,-28,-26
"821","dr5rgcx",-4,-23,-13,-19,-21,-17,-17,-28,-48,-30,-19,-8
"825","dr5rgcy",-9,-8,-9,-10,-7,-20,-11,-14,-9,-10,-17,-20
"829","dr5rgcz",-15,-30,-20,-14,-16,-33,-18,-38,-37,-20,-28,-23
"833","dr5rgew",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"834","dr5rgfh",-5,-15,-11,-14,-9,-22,-22,-46,-24,-12,-7,-11
"837","dr5rgfj",-17,-6,-11,-11,-15,-15,-13,-15,-7,-3,-17,-19
"841","dr5rgfk",0,-2,0,0,0,-1,-2,-1,-2,-2,0,-3
"842","dr5rgfm",-1,0,1,-2,-4,-1,0,-2,-4,-3,-1,2
"844","dr5rgfn",-14,-15,-16,-22,-21,-22,-18,-42,-28,-24,-22,-18
"848","dr5rgfp",-12,-12,-14,-11,-12,-30,-13,-14,-7,-11,-14,-19
"851","dr5rgfq",-57,-49,-70,-36,-25,-59,-67,-72,-68,-55,-64,-18
"855","dr5rgfr",-16,-25,-19,-13,-16,-23,-15,-16,-20,-17,-29,-14
"859","dr5rgft",-51,-31,-75,-45,-56,-67,-86,-72,-100,-69,-75,-52
"862","dr5rgfv",-6,-4,-5,-5,-3,-5,-3,-8,-5,-8,-10,-8
"863","dr5rgfw",-12,-26,-22,-13,-22,-25,-20,-40,-18,-15,-28,-23
"867","dr5rgfx",-26,-38,-41,-22,-8,-25,-31,-35,-49,-24,-28,-21
"871","dr5rgfy",-6,-6,-8,-5,-6,-6,-3,-8,-4,-2,-6,-3
"872","dr5rgfz",-1,-11,-4,0,-4,-9,-5,-3,-8,-2,-9,-5
"876","dr5rgg3",NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,1,-1
"877","dr5rggj",-6,-15,-7,-4,-14,-14,-12,-18,-6,-21,-9,-12
"881","dr5rggn",3,-1,-3,0,-6,-5,-7,-6,-1,1,-1,-4
"883","dr5rggp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2
"884","dr5rggr",NA,NA,NA,NA,NA,NA,NA,-1,-3,-2,-1,-1
"885","dr5rggx",-1,-4,-4,-1,-5,-7,-5,-1,0,-3,-5,-1
"886","dr5rggz",NA,NA,NA,NA,NA,-2,-2,-2,-3,-2,-9,-3
"888","dr5rgu5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"889","dr5rguy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
"890","dr5rhbw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"891","dr5rhn6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"892","dr5rhnh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"893","dr5rhsz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"894","dr5rhtw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"895","dr5rhy4",NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-2,-1
"897","dr5rjbe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"898","dr5rjdn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"899","dr5rjm0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"900","dr5rk4q",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2
"901","dr5rk5m",NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,1,-1
"902","dr5rk6m",NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-4,-2
"903","dr5rk6z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2
"904","dr5rk7f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"905","dr5rk7g",NA,NA,NA,NA,1,0,0,1,0,1,0,1
"907","dr5rk7x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"908","dr5rk9s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,1
