"","geohash","netdiff","netdiff2","netdiff3","netdiff4","netdiff5","netdiff6","netdiff7","netdiff8","netdiff9","netdiff10","netdiff11","netdiff12"
"1","dr5pryv",-2,-2,-6,-5,-2,-9,-4,-4,-3,-4,-5,-8
"2","dr5pryy",-11,-9,-12,-14,-18,-14,-19,-14,-23,-20,-28,-24
"6","dr5przj",-9,-16,-7,-7,-13,-11,-15,-9,-9,-15,-13,-20
"7","dr5quzp",NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-1
"8","dr5r2p3",-6,-8,-14,-21,-17,-17,-7,-16,-18,-22,-22,-29
"11","dr5r2p9",-10,-8,-10,-14,-12,-11,-11,-20,-14,-6,-9,-5
"13","dr5r5th",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1
"14","dr5r5w4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"15","dr5r5xk",NA,NA,NA,NA,NA,NA,NA,-2,-1,-2,-1,-2
"16","dr5r5xz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,0
"17","dr5r5ze",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"18","dr5r7br",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-3
"19","dr5r7u5",NA,NA,NA,NA,-7,-4,1,-11,-4,-6,-3,-3
"20","dr5r7u9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1
"21","dr5r801",NA,NA,NA,NA,NA,NA,NA,NA,-1,-5,-3,-2
"22","dr5r802",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"23","dr5r803",-33,-48,-32,-44,-69,-58,-37,-61,-53,-49,-66,-68
"25","dr5r804",NA,NA,NA,NA,-2,-4,-3,-7,-3,-2,-3,-5
"26","dr5r806",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-1
"27","dr5r852",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"28","dr5re9z",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,-1
"30","dr5rec3",-11,-6,-4,-17,-10,-27,-19,-26,-12,-10,-23,-11
"34","dr5rec6",-3,0,0,1,1,-3,-2,-3,-1,-3,-6,-3
"38","dr5rec7",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,-3
"39","dr5rec8",-14,-22,-27,-14,-28,-33,-16,-38,-31,-33,-34,-38
"43","dr5rec9",-39,-45,-68,-33,-73,-81,-55,-97,-63,-52,-70,-48
"47","dr5recb",-23,-18,-14,-19,-17,-40,-23,-36,-25,-34,-36,-24
"51","dr5recc",-12,-16,-14,-16,-16,-32,-13,-24,-23,-15,-30,-13
"55","dr5recd",-34,-44,-68,-62,-56,-98,-62,-80,-25,-51,-90,-56
"59","dr5rece",-14,-24,-16,-16,-19,-25,-26,-37,-7,-38,-23,-14
"63","dr5recf",-45,-47,-52,-51,-55,-86,-38,-74,-32,-61,-83,-54
"67","dr5recg",-11,-24,-9,-14,-16,-27,-16,-31,-21,-24,-20,-12
"71","dr5recs",-2,-5,-4,0,-1,-7,-4,-6,-2,-4,-12,-6
"75","dr5recu",-17,-18,-16,-11,-14,-32,-14,-18,-27,-18,-31,-22
"79","dr5recv",-14,-21,-7,-14,-12,-20,-29,-20,-17,-22,-33,-17
"83","dr5recy",-1,-5,-1,-2,-3,-3,-8,-5,-8,-1,-1,-1
"87","dr5redm",-4,-2,-2,-7,-2,-2,-3,-6,-1,-1,-15,-4
"89","dr5redn",-82,-74,-95,-82,-111,-155,-184,-228,-143,-163,-125,-135
"93","dr5redp",-10,-9,-11,-11,-21,-19,-15,-30,-30,-21,-12,-16
"97","dr5redq",-12,-9,-6,-4,-17,-17,-8,-22,-8,-11,-13,-11
"100","dr5redr",-4,-3,-5,-3,-5,-5,-5,-1,-7,-10,-8,-9
