"","geohash","netdiff","netdiff20","netdiff21","netdiff22","netdiff23","netdiff24","netdiff25","netdiff26","netdiff27","netdiff28","netdiff29","netdiff30"
"236","dr5reff",-17,-29,-53,-30,-17,-53,-42,-17,-22,-25,-26,-28
"241","dr5refg",-43,-51,-45,-30,-63,-56,-44,-22,-41,-35,-16,-39
"246","dr5refh",-17,-19,-27,-24,-32,-27,-12,-21,-29,-15,-16,-15
"251","dr5refj",-42,-27,-57,-35,-20,-59,-57,-64,-62,-34,-48,-57
"256","dr5refk",-14,-15,-13,-19,-3,-35,-13,-16,-18,-13,-12,-14
"261","dr5refm",-18,-30,-36,-40,-36,-39,-26,-23,-46,-47,-49,-48
"266","dr5refn",-14,-14,-10,-15,-27,-15,-14,-14,-28,-20,-15,-19
"270","dr5refp",-4,-7,-1,-4,-17,-22,-18,-10,-11,-13,-2,-5
"275","dr5refq",-48,-35,-77,-46,-45,-43,-20,-38,-50,-48,-52,-50
"280","dr5refr",-25,-20,-13,-21,-29,-23,-30,-24,-29,-31,-15,-33
"285","dr5refs",-13,-27,-30,-18,-24,-25,-14,-10,-19,-18,-29,-35
"290","dr5reft",-18,4,-22,-24,-22,-28,-22,-18,-19,-14,-23,-22
"295","dr5refu",-9,-5,-27,-6,-16,-14,-4,-6,-16,-4,-8,-17
"300","dr5refv",-18,-20,-21,-20,-20,-13,-14,-12,-19,-19,-18,-22
"304","dr5refw",-7,-7,-15,-11,-17,-13,-5,-4,-13,-12,-11,-22
"308","dr5refx",-12,-26,-45,-28,-40,-42,-35,-2,-18,-30,-9,-28
"313","dr5refy",-22,-13,-33,-25,-12,-16,-20,-29,-26,-15,-14,-27
"318","dr5refz",-9,-5,-6,-12,-13,-9,-9,0,-6,-9,-8,-10
"321","dr5reg0",-16,-9,-15,-10,-22,-49,-28,-21,-29,-30,-31,-41
"326","dr5reg1",1,1,-3,-1,-8,-14,-10,-4,-6,-6,-8,-6
"331","dr5reg2",-4,-2,-18,-6,-10,-25,-19,-18,-31,-10,-11,-37
"336","dr5reg3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-1
"338","dr5reg4",-1,-13,-4,-7,-8,-5,-3,-21,-4,-3,-3,-7
"343","dr5reg5",-49,-80,-77,-61,-71,-80,-54,-76,-45,-50,-45,-46
"348","dr5reg6",2,4,-1,-2,0,5,-1,-1,0,0,1,2
"351","dr5reg7",-18,-13,-18,-10,-17,-34,-15,-17,-19,-18,-32,-12
"356","dr5reg8",-27,-38,-34,-35,-23,-65,-41,-60,-75,-47,-24,-58
"361","dr5reg9",-2,-1,-7,0,3,0,-1,-1,-5,-10,4,-9
"366","dr5regb",-90,-120,-167,-101,-77,-113,-99,-90,-105,-94,-136,-141
"371","dr5regc",-28,-7,-20,-17,-29,-31,-11,-12,-29,-28,-26,-29
"376","dr5regd",-32,-25,-53,-44,-25,-45,-56,-50,-61,-49,-54,-75
"381","dr5rege",-17,-22,-25,-8,-26,-26,-16,-27,-36,-25,-24,-50
"386","dr5regf",-19,-24,-49,-29,-39,-44,-33,-24,-48,-36,-44,-56
"391","dr5regg",-35,-30,-42,-41,-32,-39,-11,-18,-38,-28,-29,-55
"396","dr5regh",-35,-37,-54,-32,-44,-51,-74,-59,-62,-65,-57,-57
"401","dr5regj",-12,-10,-15,-5,-13,-12,-17,-7,-16,-12,-18,-13
"406","dr5regk",-36,-39,-55,-50,-32,-54,-32,-39,-57,-58,-61,-85
"411","dr5regm",-22,-19,-31,-31,-11,-25,-22,-27,-31,-32,-27,-37
"416","dr5regn",-14,-19,-26,-10,-22,-26,-14,-16,-28,-12,-26,-30
"419","dr5regp",-11,-13,-20,-19,-10,-13,-17,-9,-15,-18,-12,-17
"424","dr5regq",-13,-7,-8,-12,-23,-6,-17,-11,-22,-4,-6,-12
"429","dr5regr",-1,-4,-7,-4,-7,-3,-4,-6,-6,-4,-6,-8
"433","dr5regs",-8,-4,-21,9,3,-18,-4,-1,-13,-6,-14,-29
"438","dr5regt",-19,-18,-30,-17,-26,-30,-24,-45,-16,-34,-40,-30
"443","dr5regu",-28,-15,-27,-15,-14,-16,-25,-12,-10,-17,-12,-15
"448","dr5regv",-12,-5,-3,-9,1,-3,2,-7,-10,-7,-8,-11
"453","dr5regw",-4,-2,-11,-7,-7,-6,-4,-13,-7,-6,-4,-9
"457","dr5regx",-8,-5,-18,-22,-20,-16,-14,-18,-20,-9,-19,-15
"462","dr5regy",-38,-33,-35,-36,-24,-39,-32,-24,-24,-30,-30,-47
"467","dr5regz",-7,-2,-3,-4,-10,-4,-3,-4,-5,-3,-3,-2
"468","dr5rek6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"469","dr5req1",NA,NA,NA,NA,NA,NA,NA,NA,-2,-3,-1,-1
"470","dr5req9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1
"471","dr5resn",-10,-8,-3,-7,-7,-13,-7,-14,-8,-4,-12,-9
"476","dr5resp",-21,-25,-54,-6,-30,-52,-14,-10,-29,-30,-21,-28
"481","dr5resq",-5,-2,-2,1,-1,-3,-3,-2,-1,-3,-1,-3
"482","dr5resr",NA,NA,NA,NA,NA,NA,NA,NA,-3,-2,-5,0
"486","dr5resx",1,-2,-1,-3,-1,-1,0,-1,-4,1,-1,-2
"488","dr5reu0",-26,-23,-30,-25,-30,-49,-18,-30,-22,-29,-37,-48
"493","dr5reu1",-14,-15,-31,-18,-29,-31,-22,-16,-25,-18,-35,-25
"498","dr5reu2",-33,-15,-21,-20,-9,-26,-15,-19,-28,-7,-26,-33
"503","dr5reu3",-11,-18,-22,-13,-25,-20,-13,-8,-21,-23,-20,-18
"508","dr5reu4",-22,-25,-49,-18,-32,-20,-18,-6,-25,-22,-21,-43
"513","dr5reu5",-8,-15,-19,-10,-19,-25,-13,-10,-17,-13,-21,-19
"516","dr5reu6",0,-7,-6,1,-5,-8,-3,1,-1,-7,-6,-9
"520","dr5reu7",-4,-6,-26,-7,-11,-18,-17,-10,-12,-14,-17,-14
"525","dr5reu8",1,-1,-4,-6,-4,-4,-1,-3,0,-3,0,-1
"528","dr5reu9",-4,-1,-5,-4,-3,-2,-1,-2,-5,-4,0,-3
"532","dr5reuc",1,-2,-2,0,-7,-3,-1,-6,-5,0,-1,-3
"535","dr5reud",-6,-9,-9,-5,-6,-5,-6,-3,-6,-3,-4,-3
"537","dr5reue",-24,-21,-32,-25,-33,-41,-38,-14,-29,-17,-18,-38
"542","dr5reuf",-3,-1,-2,2,-5,-2,-8,-5,-10,-5,-1,-9
"546","dr5reug",-59,-77,-90,-79,-55,-74,-54,-11,-54,-44,-66,-62
"551","dr5reuh",-34,-27,-45,-42,-52,-55,-43,-27,-46,-24,-31,-38
"556","dr5reuj",-9,0,-19,-13,-4,-18,-21,-9,-14,-1,-16,-26
"561","dr5reuk",-23,-17,-28,-10,-7,-35,-10,-16,-22,-33,-27,-38
"566","dr5reum",-25,-32,-48,-33,-42,-37,-29,-40,-46,-38,-38,-35
"571","dr5reun",-17,-8,-20,-14,-11,-24,-18,-11,-16,-8,-26,-22
"576","dr5reup",-27,-31,-50,-25,-33,-50,-40,-49,-41,-39,-45,-32
"581","dr5reuq",2,-5,-1,-11,0,-21,-2,-3,-11,0,-9,1
"586","dr5reur",-20,-23,-20,-20,-17,-20,-9,-15,-21,-20,-24,-19
"590","dr5reus",-27,-20,-26,-35,-30,-23,-34,-26,-27,-26,-40,-39
"595","dr5reut",-22,-25,-46,-24,-21,-33,-23,-19,-30,-33,-32,-34
"600","dr5reuu",-32,-29,-39,-17,-32,-37,-29,-33,-45,-35,-28,-23
