"","geohash","netdiff","netdiff20","netdiff21","netdiff22","netdiff23","netdiff24","netdiff25","netdiff26","netdiff27","netdiff28","netdiff29","netdiff30"
"3907","dr5ru49",-5,-5,-6,-9,-13,-33,-27,-21,-24,-24,-28,-26
"3912","dr5ru4b",-18,-9,-12,-14,-23,-20,-8,-11,-21,-14,-16,-22
"3917","dr5ru4c",NA,NA,-2,-7,-5,2,-6,-1,-4,-4,0,-4
"3918","dr5ru4d",-4,-3,-4,7,-3,-7,-1,-8,-1,4,-4,3
"3923","dr5ru4e",-6,-14,-5,-7,-9,-5,-5,-2,-20,-4,-6,-4
"3924","dr5ru4f",-10,-9,-11,-14,-9,-16,-9,-12,-15,-23,-17,-14
"3929","dr5ru4g",-10,-22,-24,-11,-20,-14,-14,-17,-27,-9,-12,-8
"3933","dr5ru4h",-1,-2,-1,0,-1,-4,-1,2,-4,-2,1,0
"3937","dr5ru4j",-11,-19,-53,-23,-25,-61,-26,-28,-32,-14,-32,-45
"3942","dr5ru4k",-6,-9,-12,-7,-13,-10,-4,-14,-12,-11,-18,-20
"3947","dr5ru4m",-7,-5,-17,-13,-20,-21,-8,-14,-14,-13,-16,-18
"3950","dr5ru4n",-31,-48,-50,-45,-49,-67,-33,-46,-46,-51,-58,-48
"3955","dr5ru4p",-30,-25,-37,-36,-26,-46,-18,-17,-35,-30,-21,-26
"3960","dr5ru4q",-265,-257,-199,-236,-286,-301,-231,-207,-281,-183,-249,-288
"3965","dr5ru4r",-49,-74,-19,-30,-27,-35,-8,-29,-61,-34,-30,4
"3970","dr5ru4s",-17,-4,-12,-10,-18,-32,-24,-16,-28,-15,-39,-42
"3975","dr5ru4t",0,-9,-7,-2,-6,-7,-8,-9,-2,-5,-11,-6
"3978","dr5ru4u",-11,-10,-15,-9,-13,-12,-10,-7,-6,-12,-4,-11
"3980","dr5ru4v",-76,-52,-73,-51,-41,-64,-60,-75,-86,-28,-45,-85
"3985","dr5ru4w",-15,-11,-9,16,-12,11,-11,-4,21,3,6,-8
"3990","dr5ru4x",16,-16,-14,6,35,-39,12,47,-3,17,-2,-12
"3995","dr5ru4y",-36,-36,-32,-28,-19,-26,-18,-16,-36,-28,-33,-36
"4000","dr5ru4z",-13,-22,-62,-25,-27,-52,-28,-29,-35,-43,-26,-35
"4005","dr5ru50",-6,-6,-5,-4,-3,-6,-10,-3,-11,-6,-8,-6
"4009","dr5ru51",-22,-6,-20,-29,-15,-19,-13,-15,-20,-12,-11,-12
"4010","dr5ru52",-130,-119,-102,-116,-124,-122,-119,-119,-134,-90,-77,-103
"4014","dr5ru53",-106,-149,-148,-86,-125,-148,-112,-160,-99,-63,-102,-103
"4019","dr5ru54",-11,-10,-11,-7,-11,-14,-13,-11,-19,-14,-8,-18
"4024","dr5ru55",-11,-25,-22,-23,-35,-38,-15,-49,-38,-29,-36,-33
"4029","dr5ru56",-13,-14,-12,-5,-17,-15,-7,-14,-15,-1,-12,-15
"4030","dr5ru57",-13,-14,-5,-4,-5,-12,-3,-6,-12,0,-13,-6
"4034","dr5ru58",-5,-5,-5,-1,-8,-6,-2,-6,-3,-3,1,-4
"4035","dr5ru59",-11,0,-20,-12,-15,-18,9,-10,-11,-6,57,-12
"4040","dr5ru5b",-13,-9,-20,-12,-11,-19,-9,-4,-3,-4,-8,-9
"4041","dr5ru5d",-179,-189,-90,-50,-33,-53,-26,-140,-98,-19,-69,-41
"4044","dr5ru5e",-18,-11,-12,-3,-13,-14,-5,-14,-10,-2,-4,-3
"4047","dr5ru5f",-361,-449,-198,-54,-225,-258,-77,-176,-148,-67,-104,-54
"4049","dr5ru5g",-21,-15,-11,-5,-18,-4,-11,-3,-3,-3,-2,-6
"4053","dr5ru5h",-17,-16,-30,-13,-16,-19,-24,-10,-25,-9,-15,-15
"4057","dr5ru5j",-10,-13,-16,-1,-15,-24,-7,-2,-23,-12,-16,-17
"4062","dr5ru5k",-37,-31,-42,-41,-34,-55,-28,-38,-34,-32,-30,-48
"4067","dr5ru5m",-14,-15,-15,-13,-14,-12,-7,-5,-18,-16,-14,-14
"4069","dr5ru5n",-45,-40,-50,-29,-42,-62,-40,-22,-42,-30,-28,-47
"4074","dr5ru5p",-16,-34,-28,-24,-28,-33,-43,-27,-35,-25,-30,-28
"4079","dr5ru5q",-23,-29,-38,-32,-20,-32,-13,-13,-26,-20,-17,-36
"4084","dr5ru5r",-61,-48,-69,-29,-50,-53,-50,-43,-57,-24,-36,-50
"4089","dr5ru5s",0,7,-12,-11,-15,-20,-1,-6,-11,-7,0,-18
"4094","dr5ru5t",-7,-7,-3,-1,22,-11,-2,-6,-11,-1,-2,-4
"4098","dr5ru5u",NA,NA,NA,NA,0,-1,-2,-2,-1,1,0,1
"4099","dr5ru5v",-27,-17,-23,-28,-22,-28,-9,-15,-25,-17,-16,-14
"4104","dr5ru5w",0,-1,-3,0,0,-5,-2,-1,-2,1,-3,-3
"4108","dr5ru5x",-59,-41,-42,-45,-39,-86,-44,-66,-64,-57,-64,-70
"4113","dr5ru5y",-8,-8,-1,-3,-10,-12,-16,-7,-20,-11,-13,-10
"4118","dr5ru5z",-25,-31,-30,-21,-26,-45,-15,-25,-37,-26,-20,-26
"4123","dr5ru60",-290,-348,-303,-261,-305,-319,-335,-221,-365,-236,-170,-260
"4128","dr5ru61",-151,-141,-133,-91,-82,-137,-102,-109,-100,-106,-73,-156
"4133","dr5ru62",-41,-18,-124,22,-71,-33,4,-11,-66,-37,-48,-37
"4138","dr5ru63",-343,-337,-348,-215,-327,-451,-349,-342,-417,-258,-309,-388
"4143","dr5ru64",-34,-26,-62,-28,-40,-50,-27,-37,-54,-22,-30,-29
"4148","dr5ru65",-92,-75,-114,-102,-68,-121,-87,-78,-106,-88,-88,-111
"4153","dr5ru66",-40,-37,-39,-38,-42,-43,-27,-35,-38,-50,-30,-68
"4158","dr5ru67",-81,-102,-158,-70,-97,-103,-57,-67,-145,-111,-94,-118
"4163","dr5ru68",-35,-39,-64,-38,-40,-46,-52,-29,-61,-30,-59,-40
"4168","dr5ru69",-152,-148,-183,-144,-113,-177,-150,-171,-164,-117,-113,-153
"4173","dr5ru6b",-54,-52,-93,-70,-46,-71,-56,-54,-52,-46,-38,-44
"4178","dr5ru6c",-34,-44,-40,-30,-29,-36,-26,-29,-39,-39,-24,-31
"4183","dr5ru6d",-106,-131,-149,-111,-102,-81,-93,-91,-88,-80,-95,-138
"4188","dr5ru6e",-43,-28,-72,-40,-39,-54,-36,-31,-70,-38,-53,-46
"4193","dr5ru6f",-49,-80,-103,-71,-46,-95,-80,-53,-72,-30,-76,-68
"4198","dr5ru6g",-45,-53,-98,-65,-38,-76,-47,-56,-81,-40,-50,-60
"4203","dr5ru6h",-93,-55,-76,-89,-84,-110,-58,-61,-76,-67,-52,-104
"4208","dr5ru6j",-41,-36,-65,-56,-52,-71,-47,-62,-46,-48,-43,-62
"4213","dr5ru6k",-78,-90,-123,-77,-80,-119,-72,-77,-110,-92,-90,-97
"4218","dr5ru6m",-49,-43,-55,-45,-44,-54,-36,-31,-47,-38,-29,-62
"4223","dr5ru6n",-98,-95,-158,-134,-97,-151,-92,-115,-119,-104,-112,-169
"4228","dr5ru6p",-59,-51,-60,-43,-36,-73,-45,-43,-59,-37,-56,-38
"4233","dr5ru6q",-81,-53,-85,-46,-74,-95,-42,-56,-81,-38,-58,-81
"4238","dr5ru6r",-76,-97,-127,-58,-90,-113,-79,-64,-94,-66,-77,-107
"4243","dr5ru6s",-35,-63,-100,-34,-61,-113,-69,-71,-87,-68,-64,-87
"4248","dr5ru6t",-54,-59,-59,-62,-55,-68,-97,-70,-73,-66,-62,-74
"4253","dr5ru6u",-61,-58,-105,-56,-48,-68,-72,-67,-71,-82,-42,-73
"4258","dr5ru6v",-104,-89,-143,-104,-73,-163,-114,-117,-122,-77,-113,-137
"4263","dr5ru6w",-35,-28,-50,-34,-41,-44,-40,-28,-39,-41,-44,-50
"4268","dr5ru6x",-81,-72,-105,-116,-56,-102,-61,-76,-75,-66,-82,-96
"4273","dr5ru6y",-52,-35,-54,-38,-46,-50,-15,-49,-38,-26,-51,-42
"4278","dr5ru6z",-19,-11,-43,-39,-22,-30,-32,-13,-41,-21,-15,-27
"4283","dr5ru70",-64,-91,-136,-73,-75,-118,-86,-71,-115,-81,-93,-77
"4288","dr5ru71",-48,-54,-77,-59,-40,-43,-49,-27,-53,-59,-38,-51
"4293","dr5ru72",-31,-20,-56,-29,-46,-58,-29,-47,-51,-36,-32,-48
"4298","dr5ru73",-102,-86,-134,-117,-119,-140,-118,-33,-142,-123,-98,-143
"4303","dr5ru74",-40,-48,-41,-44,-41,-54,-25,-35,-37,-28,-33,-42
"4308","dr5ru75",-51,-75,-84,-74,-56,-97,-44,-51,-66,-30,-49,-61
"4313","dr5ru76",-35,-15,-64,-75,-56,-59,-51,-47,-72,-55,-44,-64
"4318","dr5ru77",-42,-53,-68,-40,-25,-40,-38,-29,-66,-33,-48,-48
"4323","dr5ru78",-14,-30,-25,-12,-27,-26,-6,-16,-29,-15,-22,-24
"4328","dr5ru79",-105,-78,-60,-66,-75,-90,-74,-91,-93,-53,-62,-104
"4333","dr5ru7b",-56,-37,-65,-44,-54,-46,-25,-29,-32,-42,-30,-46
"4338","dr5ru7c",-21,-17,-32,-26,-35,-26,-18,-16,-27,-18,-23,-24
"4343","dr5ru7d",-112,-120,-171,-107,-105,-168,-78,-103,-146,-105,-87,-110
"4348","dr5ru7e",-44,-57,-70,-73,-55,-67,-55,-48,-48,-53,-52,-65
"4353","dr5ru7f",-52,-72,-71,-72,-65,-66,-63,-62,-88,-64,-65,-107
"4358","dr5ru7g",-35,-37,-49,-42,-47,-69,-22,-31,-42,-46,-41,-49
"4363","dr5ru7h",-47,-36,-53,-40,-55,-49,-36,-36,-41,-46,-36,-46
"4368","dr5ru7j",-42,-43,-89,-51,-55,-72,-35,-46,-55,-34,-54,-58
"4373","dr5ru7k",-87,-102,-123,-86,-54,-125,-73,-77,-102,-61,-76,-99
"4378","dr5ru7m",-64,-68,-109,-86,-58,-101,-84,-87,-117,-66,-76,-84
"4383","dr5ru7n",-80,-73,-181,-128,-99,-94,-68,-89,-110,-106,-117,-145
"4388","dr5ru7p",-45,-45,-60,-64,-61,-75,-41,-47,-66,-58,-57,-85
"4393","dr5ru7q",-81,-56,-143,-78,-76,-121,-58,-46,-88,-93,-78,-117
"4398","dr5ru7r",-113,-88,-130,-91,-90,-131,-120,-67,-144,-90,-97,-93
"4403","dr5ru7s",-56,-54,-89,-64,-60,-55,-51,-31,-83,-38,-53,-54
"4408","dr5ru7t",-55,-97,-127,-67,-84,-103,-74,-56,-88,-62,-40,-89
"4413","dr5ru7u",-46,-36,-81,-52,-55,-60,-29,-55,-63,-50,-43,-47
"4418","dr5ru7v",-82,-125,-163,-117,-90,-120,-91,-106,-119,-69,-48,-104
"4423","dr5ru7w",-58,-39,-57,-60,-77,-74,-44,-43,-54,-43,-83,-70
"4428","dr5ru7x",-76,-95,-161,-101,-85,-146,-102,-124,-107,-73,-117,-159
"4433","dr5ru7y",-42,-34,-76,-40,-70,-61,-50,-58,-69,-43,-57,-67
"4438","dr5ru7z",-60,-11,-114,-49,-63,-83,-38,-37,-90,-64,-57,-70
"4443","dr5ru80",-44,-40,-48,-55,-34,-49,-39,-53,-56,-46,-43,-53
"4448","dr5ru81",-24,-26,-41,-22,-30,-38,-18,-17,-22,-20,-31,-31
"4453","dr5ru82",-18,-16,-24,-17,-22,-25,-22,-10,-14,-19,-20,-12
"4456","dr5ru83",-20,-19,-28,-36,-31,-35,-18,-35,-31,-18,-25,-25
"4461","dr5ru84",-6,-10,-7,-9,-13,-11,-9,-3,-15,-13,-13,-17
"4466","dr5ru85",-2,-2,-19,-12,-8,-12,-10,-12,-17,-15,-12,-12
"4471","dr5ru86",-9,-9,-7,-7,-9,-4,-2,-10,-5,-12,-8,-10
"4473","dr5ru87",-63,-75,-117,-83,-67,-104,-58,-52,-74,-40,-58,-67
"4478","dr5ru88",-18,-18,-30,-24,-4,-29,-7,-8,-20,-16,-29,-18
"4483","dr5ru89",-9,-4,-22,-6,-10,-11,-9,-10,-15,-5,-8,-13
"4488","dr5ru8b",-34,-42,-44,-29,-25,-38,-13,-22,-32,-12,-34,-45
"4493","dr5ru8c",-5,-18,-28,-17,-13,-19,-14,-12,-16,-4,-18,-18
"4497","dr5ru8d",-9,-29,-16,-15,-21,-23,-5,-14,-27,-8,-12,-24
"4502","dr5ru8e",3,-2,-1,-3,-2,-6,-5,-1,-4,2,-6,-1
"4504","dr5ru8f",-26,-21,-34,-20,-20,-25,-16,-20,-26,-19,-13,-24
"4509","dr5ru8g",-16,-25,-25,-19,-24,-16,-15,-9,-23,-15,-11,-12
"4514","dr5ru8h",-4,-6,-4,-2,-1,-3,-1,-1,-3,-3,-8,-2
"4515","dr5ru8j",-11,-8,-11,-4,-11,-18,-9,-8,-7,-7,-9,-10
"4519","dr5ru8k",0,0,-10,-1,-5,-6,3,-6,-10,1,-9,-3
"4524","dr5ru8m",-6,-11,-5,-7,-6,-7,-7,-13,-10,-4,-5,-5
"4526","dr5ru8n",-5,0,-6,-9,-7,-14,-2,-12,-12,-3,0,-8
"4527","dr5ru8q",-1,-3,-2,-4,-2,-5,-4,0,-2,-3,-1,0
"4528","dr5ru8s",-33,-49,-96,-28,-34,-51,-51,-32,-49,-36,-41,-47
"4533","dr5ru8t",1,1,-1,-10,-2,-5,-1,-4,-7,-6,-2,0
"4534","dr5ru8u",-53,-30,-67,-55,-41,-67,-42,-33,-56,-47,-50,-70
"4539","dr5ru8v",-62,-52,-81,-66,-45,-106,-56,-54,-107,-69,-69,-103
"4544","dr5ru8w",-2,-3,-5,-4,-1,-5,1,1,-1,-1,-1,-1
"4545","dr5ru8y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"4546","dr5ru90",-16,-40,-33,-16,-36,-25,-30,-25,-43,-15,-23,-50
"4551","dr5ru91",-25,-23,-40,-12,-20,-37,-41,-31,-53,-35,-15,-21
"4556","dr5ru92",-49,-57,-67,-45,-37,-54,-44,-40,-53,-51,-46,-48
"4561","dr5ru93",-49,-49,-64,-38,-39,-49,-63,-50,-61,-48,-38,-55
"4566","dr5ru94",-10,-9,-8,-4,-4,-8,-11,-5,-5,-6,-10,-15
"4570","dr5ru95",-40,-59,-43,-29,-30,-44,-25,-23,-31,-47,-24,-41
"4575","dr5ru96",-30,-32,-25,-27,-14,-29,-39,-31,-43,-37,-58,-53
"4580","dr5ru97",-37,-45,-55,-36,-41,-32,-23,-23,-40,-32,-28,-45
"4585","dr5ru98",-66,-66,-97,-56,-50,-96,-47,-55,-59,-80,-55,-69
"4590","dr5ru99",-64,-62,-104,-75,-66,-81,-68,-67,-72,-76,-33,-108
"4595","dr5ru9b",-72,-68,-105,-83,-51,-120,-57,-66,-83,-84,-82,-104
"4600","dr5ru9c",-33,-23,-50,-25,-24,-38,-17,-16,-28,-20,-13,-34
"4605","dr5ru9d",-24,-26,-54,-47,-36,-33,-19,-35,-43,-27,-38,-36
"4610","dr5ru9e",-21,-18,-24,-28,-18,-23,-16,-13,-29,-2,-17,-17
"4615","dr5ru9f",-29,-26,-32,-26,-33,-32,-34,-23,-33,-16,-18,-31
"4620","dr5ru9g",-32,-21,-58,-47,-24,-46,-35,-20,-69,-32,-45,-53
"4625","dr5ru9h",-7,-7,-12,-8,-4,-14,-2,-7,-14,-8,-14,-15
"4630","dr5ru9j",-23,-29,-19,-15,-26,-34,-36,-23,-35,-34,-26,-30
"4635","dr5ru9k",-63,-75,-111,-74,-72,-79,-76,-75,-76,-64,-56,-106
"4640","dr5ru9m",-35,-27,-37,-31,-32,-41,-25,-33,-22,-24,-20,-42
"4644","dr5ru9n",-11,-29,-11,-38,-30,-32,-11,-24,-52,-17,-30,-39
"4649","dr5ru9p",-12,-6,-17,-16,-53,-17,-15,-10,-24,-14,-9,-19
"4651","dr5ru9q",-6,-8,-14,-12,-12,-17,-8,-5,-7,-12,-3,-14
"4656","dr5ru9r",-11,-10,-27,-18,-32,-25,-20,-20,-36,-21,-17,-16
"4659","dr5ru9s",-16,-14,-31,-16,-22,-21,-7,-17,-22,-15,-19,-16
"4664","dr5ru9t",-8,-8,-19,-9,-12,-27,-9,-13,-13,1,-11,-21
"4669","dr5ru9u",-39,-47,-63,-48,-39,-68,-72,-34,-58,-44,-46,-59
"4674","dr5ru9v",-20,-31,-67,-46,-18,-22,-24,-43,-36,-45,-39,-47
"4679","dr5ru9w",-62,-54,-78,-45,-42,-84,-55,-37,-64,-51,-44,-67
"4684","dr5ru9x",-18,-31,-58,-34,-39,-36,-28,-30,-33,-34,-19,-56
"4689","dr5ru9y",-29,-23,-30,-17,-9,-31,-13,-25,-32,-32,-17,-28
"4694","dr5ru9z",-11,-19,-19,-13,-16,-21,-12,-8,-18,-14,-8,-13
"4699","dr5ruc8",NA,NA,NA,NA,NA,NA,NA,-1,0,-2,3,-1
"4700","dr5rucb",-1,-2,-9,1,1,-2,-1,0,-7,1,0,-1
"4704","dr5rucc",-3,-1,-2,-1,0,0,2,-1,-4,1,-1,-1
"4705","dr5rud0",-36,-28,-41,-56,-44,-41,-29,-21,-50,-34,-46,-37
"4710","dr5rud1",-73,-97,-115,-102,-68,-97,-53,-56,-105,-77,-59,-92
"4715","dr5rud2",-64,-83,-141,-115,-61,-102,-72,-57,-85,-44,-61,-65
"4720","dr5rud3",-49,-67,-94,-67,-57,-93,-73,-55,-99,-62,-55,-82
"4725","dr5rud4",-45,-39,-52,-42,-49,-55,-25,-33,-53,-30,-39,-48
"4730","dr5rud5",-59,-39,-52,-52,-49,-79,-65,-36,-68,-48,-62,-67
"4735","dr5rud6",-123,-117,-202,-120,-127,-153,-149,-125,-185,-120,-145,-166
"4740","dr5rud7",-62,-68,-73,-61,-58,-78,-70,-57,-83,-57,-58,-78
"4745","dr5rud8",-84,-72,-113,-82,-65,-102,-79,-62,-107,-51,-68,-111
"4750","dr5rud9",-94,-95,-184,-112,-91,-139,-107,-76,-92,-118,-96,-98
"4755","dr5rudb",-112,-79,-111,-90,-80,-103,-110,-67,-101,-87,-82,-113
"4760","dr5rudc",-111,-106,-158,-116,-133,-165,-88,-82,-149,-110,-110,-118
"4765","dr5rudd",-131,-123,-180,-139,-138,-140,-102,-56,-172,-122,-168,-204
"4770","dr5rude",-137,-100,-180,-136,-122,-146,-101,-110,-166,-98,-116,-152
"4775","dr5rudf",-136,-173,-214,-171,-141,-186,-164,-122,-169,-145,-91,-132
"4780","dr5rudg",-32,-53,-93,-39,-11,-68,-34,-25,-25,-69,-64,-72
"4785","dr5rudh",-54,-62,-136,-43,-49,-98,-63,-36,-134,-81,-62,-99
"4790","dr5rudj",-22,-25,-30,-37,-20,-45,-26,-15,-34,-21,-36,-40
"4795","dr5rudk",-78,-50,-98,-74,-72,-81,-82,-60,-99,-67,-86,-90
"4800","dr5rudm",-108,-117,-150,-95,-109,-132,-121,-93,-114,-99,-104,-109
"4805","dr5rudn",-29,-27,-53,-19,-21,-41,-11,-21,-30,-15,-56,-44
"4810","dr5rudp",-23,-16,-37,-25,-30,-33,-28,-24,-24,-17,-16,-34
"4815","dr5rudq",-49,-44,-72,-53,-57,-82,-65,-62,-55,-59,-46,-58
"4820","dr5rudr",-52,-31,-90,-60,-69,-84,-49,-49,-62,-52,-59,-95
"4825","dr5ruds",-152,-138,-197,-149,-139,-258,-162,-134,-230,-150,-145,-193
"4830","dr5rudt",-71,-94,-137,-113,-118,-131,-83,-70,-103,-123,-106,-133
"4835","dr5rudu",-41,-64,-79,-82,-44,-71,-34,-50,-78,-77,-70,-74
"4840","dr5rudv",-69,-79,-157,-70,-64,-105,-62,-49,-83,-91,-81,-99
"4845","dr5rudw",-39,-26,-40,-24,-41,-52,-51,-41,-44,-52,-23,-47
"4850","dr5rudx",-37,-46,-53,-50,-36,-69,-51,-37,-45,-52,-43,-51
"4855","dr5rudy",-59,-63,-91,-78,-63,-115,-104,-80,-104,-81,-76,-90
"4860","dr5rudz",-22,-23,-35,-36,-33,-38,-59,-25,-39,-46,-34,-46
"4865","dr5rue0",-51,-60,-76,-53,-49,-59,-36,-36,-54,-61,-52,-78
"4870","dr5rue1",-104,-106,-129,-112,-98,-121,-112,-87,-139,-131,-123,-150
"4875","dr5rue2",-52,-43,-61,-76,-36,-77,-74,-58,-46,-54,-67,-74
"4880","dr5rue3",-72,-90,-114,-108,-53,-137,-67,-75,-111,-81,-99,-95
"4885","dr5rue4",-84,-67,-105,-52,-84,-107,-78,-104,-93,-74,-95,-100
"4890","dr5rue5",-93,-92,-95,-60,-88,-109,-84,-71,-108,-94,-69,-115
"4895","dr5rue6",-126,-102,-147,-74,-85,-121,-84,-88,-94,-71,-78,-137
"4900","dr5rue7",-65,-58,-108,-63,-71,-126,-58,-54,-55,-69,-71,-121
"4905","dr5rue8",-51,-58,-65,-65,-51,-50,-74,-33,-46,-52,-33,-49
"4910","dr5rue9",-29,-46,-27,-39,-32,-50,-53,-44,-34,-38,-49,-40
"4913","dr5rueb",-77,-106,-162,-89,-112,-114,-107,-122,-155,-122,-96,-215
"4918","dr5ruec",-56,-57,-66,-45,-44,-82,-64,-58,-56,-37,-69,-58
"4923","dr5rued",-117,-104,-139,-118,-61,-125,-95,-93,-112,-63,-113,-148
"4928","dr5ruee",-116,-99,-147,-95,-117,-149,-82,-76,-108,-66,-102,-135
"4933","dr5ruef",-141,-92,-145,-118,-104,-140,-105,-124,-111,-74,-97,-127
"4938","dr5rueg",-179,-186,-192,-197,-184,-228,-146,-173,-244,-102,-180,-274
"4943","dr5rueh",-98,-99,-141,-75,-100,-100,-85,-86,-125,-106,-108,-97
"4948","dr5ruej",-57,-87,-104,-51,-42,-87,-54,-40,-93,-63,-73,-66
"4953","dr5ruek",-85,-133,-202,-147,-100,-204,-109,-109,-118,-141,-106,-153
"4958","dr5ruem",-117,-120,-210,-103,-192,-195,-166,-102,-124,-131,-125,-199
"4963","dr5ruen",-45,-77,-89,-58,-78,-81,-78,-79,-94,-53,-71,-98
"4968","dr5ruep",-66,-50,-106,-71,-69,-108,-87,-51,-71,-90,-58,-61
"4973","dr5rueq",-111,-60,-135,-130,-113,-124,-116,-85,-127,-99,-113,-139
"4978","dr5ruer",-48,-81,-104,-91,-113,-119,-53,-49,-102,-62,-84,-132
"4983","dr5rues",-92,-80,-107,-105,-90,-132,-67,-115,-99,-99,-112,-140
"4988","dr5ruet",-106,-85,-161,-162,-131,-168,-99,-96,-160,-127,-108,-185
"4993","dr5rueu",-80,-74,-119,-94,-89,-126,-68,-82,-97,-77,-90,-140
"4998","dr5ruev",-82,-119,-131,-106,-94,-147,-85,-90,-100,-105,-93,-129
"5003","dr5ruew",-90,-70,-123,-85,-119,-122,-107,-79,-89,-100,-97,-154
"5008","dr5ruex",-78,-88,-116,-98,-108,-112,-99,-63,-88,-128,-78,-111
"5013","dr5ruey",-132,-150,-220,-188,-162,-229,-172,-140,-200,-192,-173,-219
"5018","dr5ruez",-82,-63,-107,-86,-105,-142,-95,-78,-78,-111,-97,-122
"5023","dr5ruf0",-15,-26,-28,-14,-23,-31,-18,-18,-22,-16,-11,-29
"5028","dr5ruf1",-23,-6,-25,-13,-16,-21,-20,-17,-11,-7,-7,-27
"5033","dr5ruf2",-14,-27,-33,-19,-21,-28,-29,-24,-40,-20,-25,-41
"5038","dr5ruf3",-29,-13,-49,-35,-26,-32,-40,-19,-24,-19,-23,-21
"5043","dr5ruf6",2,-1,1,-1,-2,-1,-4,0,0,-1,1,0
"5046","dr5ruf7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"5047","dr5ruf8",-44,-39,-36,-42,-21,-55,-17,-40,-34,-28,-44,-63
"5052","dr5ruf9",-14,-22,-22,-15,-24,-19,-17,-10,-22,-16,-11,-19
"5056","dr5rufb",-13,-50,-54,-50,-41,-71,-44,-42,-58,-53,-44,-50
"5061","dr5rufc",-23,-30,-36,-22,-30,-33,-28,-23,-22,-26,-5,-30
"5066","dr5rufd",-12,-26,-23,-16,-24,-42,-53,-8,-15,-17,-12,-27
"5071","dr5rufe",NA,NA,NA,NA,NA,NA,0,-1,-3,1,1,-2
"5073","dr5ruff",-28,-31,-31,-42,-17,-49,-15,-33,-40,-31,-35,-44
"5078","dr5rufg",-21,-14,-48,-32,-13,-45,-35,-31,-30,-31,-25,-34
"5083","dr5rufu",-11,-18,-14,-20,-8,-13,-14,-7,-8,-18,-7,-24
"5085","dr5rufv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-1
"5086","dr5rug0",-25,-31,-51,-48,-39,-37,-38,-33,-43,-43,-29,-53
"5091","dr5rug1",-42,-42,-64,-40,-29,-49,-67,-29,-25,-26,-32,-46
"5096","dr5rug2",-54,-77,-83,-62,-86,-93,-61,-70,-80,-72,-72,-75
"5101","dr5rug3",-38,-32,-57,-36,-34,-40,-36,-33,-42,-38,-40,-35
"5106","dr5rug4",-12,-7,-12,-14,-2,-11,-12,-4,-13,-11,-9,-7
"5111","dr5rug5",-19,-29,-32,-29,-15,-41,-31,-20,-13,-32,-19,-30
"5116","dr5rug6",-50,-50,-41,-20,-26,-54,-48,-36,-54,-26,-41,-56
"5121","dr5rug7",-21,-24,-38,-30,-15,-22,-24,-19,-23,-26,-18,-28
"5126","dr5rug8",-76,-99,-120,-104,-85,-129,-82,-94,-90,-82,-66,-119
"5131","dr5rug9",-75,-59,-80,-55,-71,-61,-86,-57,-78,-61,-67,-96
"5136","dr5rugb",-102,-90,-118,-111,-62,-113,-88,-73,-120,-101,-86,-126
"5141","dr5rugc",-71,-63,-92,-78,-51,-85,-62,-59,-81,-54,-62,-63
"5146","dr5rugd",-40,-19,-59,-47,-43,-45,-43,-41,-34,-21,-37,-56
"5151","dr5ruge",-29,-20,-19,-28,-20,-36,-29,-24,-35,-20,-25,-36
"5156","dr5rugf",-30,-24,-29,-45,-31,-41,-16,-26,-26,-21,-25,-35
"5161","dr5rugg",-47,-30,-49,-33,-31,-21,-36,-16,-48,-18,-28,-37
"5166","dr5rugh",-12,-13,-27,-24,-30,-27,-22,-14,-19,-13,-12,-27
"5171","dr5rugj",-14,-15,-27,-31,-4,-21,-14,-7,-21,-16,-21,-25
"5176","dr5rugk",-23,-45,-65,-35,-34,-69,-34,-24,-57,-40,-34,-54
"5181","dr5rugm",-17,-16,-26,-30,-13,-32,-23,-20,-21,-18,-14,-26
"5186","dr5rugn",-3,0,-3,-1,-5,-6,-2,-4,-6,-4,-3,-4
"5189","dr5rugq",-22,-13,-32,-18,-14,-29,-23,-16,-38,-20,-17,-23
"5194","dr5rugr",0,2,2,-1,-1,-3,1,-3,-1,-2,1,-2
"5199","dr5rugs",-17,-15,-19,-23,-16,-30,-26,-24,-33,-20,-30,-25
"5204","dr5rugt",-59,-24,-78,-50,-40,-47,-31,-53,-63,-50,-45,-75
"5209","dr5rugu",-36,-31,-45,-37,-31,-47,-34,-34,-33,-34,-24,-28
"5214","dr5rugv",-25,-23,-39,-39,-38,-50,-27,-31,-28,-34,-37,-41
"5219","dr5rugw",-9,-23,-21,-25,-20,-22,-18,-14,-23,-12,-16,-23
"5224","dr5rugx",-12,-26,-22,-20,-16,-16,-13,-19,-16,-10,-33,-28
"5229","dr5rugy",-24,-28,-40,-39,-21,-27,-24,-33,-28,-37,-29,-51
"5234","dr5rugz",-16,-16,-32,-23,-29,-23,-9,-7,-17,-23,-22,-35
"5239","dr5ruh0",-8,-30,-31,-42,-27,-57,-40,-26,-33,-33,-31,-48
"5244","dr5ruh1",-4,-4,-8,-8,-6,-8,-5,-5,-10,-6,-10,-9
"5247","dr5ruh2",-15,-18,-21,-26,-26,-35,-16,-17,-35,-18,-20,-21
